Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,Herd,,
Cu,152,40,170,,wickstrum farms,6006,LIVER
Fe,98,40,400,,wickstrum farms,6006,LIVER
K,3393,1400,4000,,wickstrum farms,6006,LIVER
Mg,176,100,250,,wickstrum farms,6006,LIVER
Mn,1.414,0.7,3.5,,wickstrum farms,6006,LIVER
Mo,0.287,0.2,0.6,,wickstrum farms,6006,LIVER
Na,1928,900,3000,,wickstrum farms,6006,LIVER
P,3614,2000,4000,,wickstrum farms,6006,LIVER
Se,0.927,0.3,1.5,,wickstrum farms,6006,LIVER
Zn,37,37,205,,wickstrum farms,6006,LIVER
Ca,136,30,200,,wickstrum farms,5215,LIVER
Co,0.012,0.01,0.063,,wickstrum farms,5215,LIVER
Cr,0.052,0.001,,,wickstrum farms,5215,LIVER
Cu,171,40,170,H,wickstrum farms,5215,LIVER
Fe,248,40,400,,wickstrum farms,5215,LIVER
K,2128,1400,4000,,wickstrum farms,5215,LIVER
Mg,116,100,250,,wickstrum farms,5215,LIVER
Mn,0.607,0.7,3.5,L,wickstrum farms,5215,LIVER
Mo,0.213,0.2,0.6,,wickstrum farms,5215,LIVER
Na,1941,900,3000,,wickstrum farms,5215,LIVER
P,2054,2000,4000,,wickstrum farms,5215,LIVER
Se,1.322,0.3,1.5,,wickstrum farms,5215,LIVER
Zn,91,37,205,,wickstrum farms,5215,LIVER
