Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,Herd,,
Zn,71,37,205,,wickstrum farms,TWIN 1,
Ca,318,30,200,H,wickstrum farms,TWIN 2,
Co,0.01,0.01,0.063,,wickstrum farms,TWIN 2,
Cr,0.015,0.001,,,wickstrum farms,TWIN 2,
Cu,31,40,170,L,wickstrum farms,TWIN 2,
Fe,37,40,400,L,wickstrum farms,TWIN 2,
K,1859,1400,4000,,wickstrum farms,TWIN 2,
Mg,114,100,250,,wickstrum farms,TWIN 2,
Mn,0.676,0.7,3.5,L,wickstrum farms,TWIN 2,
Mo,0.14,0.2,0.6,L,wickstrum farms,TWIN 2,
Na,2331,900,3000,,wickstrum farms,TWIN 2,
P,1472,2000,4000,L,wickstrum farms,TWIN 2,
Se,0.64,0.3,1.5,,wickstrum farms,TWIN 2,
Zn,86,37,205,,wickstrum farms,TWIN 2,
Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,,wickstrum farms,still born,
Ca,92,30,200,,wickstrum farms,still born,
Co,0.026,0.01,0.063,,wickstrum farms,still born,
Cr,0.032,0.001,,,wickstrum farms,still born,
Cu,96,40,170,,wickstrum farms,still born,
Fe,201,40,400,,wickstrum farms,still born,
K,3747,1400,4000,,wickstrum farms,still born,
Mg,151,100,250,,wickstrum farms,still born,
Mn,1.21,0.7,3.5,,wickstrum farms,still born,
Mo,0.273,0.2,0.6,,wickstrum farms,still born,
Na,1607,900,3000,,wickstrum farms,still born,
P,2895,2000,4000,,wickstrum farms,still born,
Se,0.637,0.3,1.5,,wickstrum farms,still born,
Zn,126,37,205,,wickstrum farms,still born,
Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,River Creek,,
Ca,46.3,30,200,,River Creek,,
Co,0.1,0.02,0.2,,River Creek,,
Cr,0.026,0.04,3.8,L,River Creek,,
Cu,32,25,150,,River Creek,,
Fe,49,45,220,,River Creek,,
K,3318,1400,4000,,River Creek,,
Mg,202,100,250,,River Creek,,
Mn,1.986,1.5,5,,River Creek,,
Mo,0.89,0.2,1.4,,River Creek,,
Na,923,900,3000,,River Creek,,
P,5256,2000,4000,H,River Creek,,
Se,0.519,0.2,0.7,,River Creek,,
Zn,120,25,125,,River Creek,,
Vitamin A,72.697,50,88,,River Creek,,
Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,River Creek,,
Ca,116,30,200,,River Creek,,
Co,0.034,0.01,0.063,,River Creek,,
Cr,0.033,0.001,,,River Creek,,
Cu,176,40,170,H,River Creek,,
Fe,50,40,400,,River Creek,,
K,1843,1400,4000,,River Creek,,
Mg,129,100,250,,River Creek,,
Mn,1.342,0.7,3.5,,River Creek,,
Mo,0.23,0.2,0.6,,River Creek,,
Na,1781,900,3000,,River Creek,,
P,3073,2000,4000,,River Creek,,
Se,0.608,0.3,1.5,,River Creek,,
Zn,108,37,205,,River Creek,,
Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,River Creek,,
Ca,97,30,200,,River Creek,,
Co,0.032,0.01,0.063,,River Creek,,
Cr,0.015,0.001,,,River Creek,,
Cu,199,40,170,H,River Creek,,
Fe,295,40,400,,River Creek,,
K,2525,1400,4000,,River Creek,,
Mg,155,100,250,,River Creek,,
Mn,1.323,0.7,3.5,,River Creek,,
Mo,0.254,0.2,0.6,,River Creek,,
Na,2054,900,3000,,River Creek,,
P,4164,2000,4000,H,River Creek,,
Se,2.526,0.3,1.5,H,River Creek,,
Zn,28,37,205,L,River Creek,,
Analyte,Value_ppm,Ref_Low_ppm,Ref_High_ppm,Flag,River Creek,418,
Ca,116,30,200,,River Creek,418,
Co,0.034,0.01,0.063,,River Creek,418,
Cr,0.033,0.001,,,River Creek,418,
Cu,176,40,170,H,River Creek,418,
Fe,50,40,400,,River Creek,418,
K,1843,1400,4000,,River Creek,418,
Mg,129,100,250,,River Creek,418,
Mn,1.342,0.7,3.5,,River Creek,418,
Mo,0.23,0.2,0.6,,River Creek,418,
Na,1781,900,3000,,River Creek,418,
P,3073,2000,4000,,River Creek,418,
Se,0.608,0.3,1.5,,River Creek,418,
Zn,108,37,205,,River Creek,418,
