Ingredient List,Product Type,Marketing Category,brand_name,count_products,ct_applications
KETAMINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,"Ketamine hydrochloride,Ketaset,Zetamine",3,2
KETOPROFEN,PRESCRIPTION ANIMAL DRUG,ANADA,KetoMed,1,1
KETOPROFEN,PRESCRIPTION ANIMAL DRUG,NADA,Ketofen,1,1
KETOPROFEN; TULATHROMYCIN,PRESCRIPTION ANIMAL DRUG,NADA,Draxxin KP,1,1
LAIDLOMYCIN PROPIONATE POTASSIUM,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Cattlyst,1,1
LASALOCID SODIUM,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,"Avatec,Bovatec,Bovatec 150FP,Bovatec 20",4,1
LEVAMISOLE HYDROCHLORIDE,OTC ANIMAL DRUG,ANADA,"LevaMed Soluble Drench Powder,PROHIBIT Soluble Drench Powder",2,2
LEVAMISOLE HYDROCHLORIDE; DORAMECTIN,PRESCRIPTION ANIMAL DRUG,NADA,Valcor,1,1
LEVOTHYROXINE SODIUM,PRESCRIPTION ANIMAL DRUG,NADA,Thyro-Tabs Canine,1,1
LINCOMYCIN,PRESCRIPTION ANIMAL DRUG,ANADA,LincoMed 300,1,1
LINCOMYCIN HYDROCHLORIDE,OTC ANIMAL DRUG,ANADA,LINCOMYCIN,1,1
LINCOMYCIN HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,ANADA,"LincoBac 300,Lincomycin,LINCOMYCIN,LINCOMYCIN 300,Lincomycin Hydrochloride Soluble Powder,LinxMed-SP",6,4
LINCOMYCIN HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,Lincomix,1,1
LINCOMYCIN HYDROCHLORIDE,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,"Lincomix 20,Lincomix 50",2,1
LINCOMYCIN HYDROCHLORIDE; SPECTINOMYCIN HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,ANADA,Lincomycin-Spectinomycin Water Soluble Powder,1,1
LOTILANER,PRESCRIPTION ANIMAL DRUG,NADA,Credelio,1,2
LOTILANER; PRAZIQUANTEL; MOXIDECTIN; PYRANTEL PAMOATE,PRESCRIPTION ANIMAL DRUG,NADA,Credelio Quattro,1,1
LOTILANER; PRAZIQUANTEL; PYRANTEL PAMOATE; MOXIDECTIN,PRESCRIPTION ANIMAL DRUG,NADA,Credelio Quattro,1,1
LUBABEGRON,OTC ANIMAL DRUG,NADA,"Experior 10,Experior 50",2,1
LUFENURON; MILBEMYCIN OXIME,PRESCRIPTION ANIMAL DRUG,NADA,Sentinel Flavor Tabs,1,1
LUFENURON; MILBEMYCIN OXIME; PRAZIQUANTEL,PRESCRIPTION ANIMAL DRUG,NADA,Sentinel Spectrum,1,1
MARBOFLOXACIN,PRESCRIPTION ANIMAL DRUG,ANADA,"DELAQUIN,FluoroFlox,Marbofloxacin,Marboquin",4,2
MARBOFLOXACIN,PRESCRIPTION ANIMAL DRUG,NADA,Zeniquin,1,1
MAROPITANT CITRATE,PRESCRIPTION ANIMAL DRUG,ANADA,"Ceritant,Comfor-trate,ComforTrate,Emeprev,Maropitant Citrate",5,4
MAROPITANT CITRATE,PRESCRIPTION ANIMAL DRUG,NADA,Cerenia,1,2
MEDETOMIDINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,ANADA,Placadine,1,1
MEDETOMIDINE HYDROCHLORIDE; VATINOXAN HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,Zenalpha,1,1
MELARSOMINE DIHYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,ANADA,DIROBAN,1,1
MELENGESTROL ACETATE,OTC ANIMAL DRUG,ANADA,Heifermax 500,1,1
MELENGESTROL ACETATE,OTC ANIMAL DRUG,NADA,"MGA 200,MGA 500",2,1
MELENGESTROL ACETATE,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,ANADA,CycleGuard 500,1,1
MELOXICAM,PRESCRIPTION ANIMAL DRUG,ANADA,"Alloxate,Loxicom,Meloxicam,MELOXIDYL,Meloxivet,Ostilox,OstiLox",7,5
MELOXICAM,PRESCRIPTION ANIMAL DRUG,NADA,Metacam,1,2
MEPIVACAINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,Carbocaine V Sterile Aqueous,1,1
METHIMAZOLE,PRESCRIPTION ANIMAL DRUG,ANADA,"Felanorm,Methimazole",2,2
METHIMAZOLE,PRESCRIPTION ANIMAL DRUG,NADA,Felimazole,1,1
METHYLPREDNISOLONE,PRESCRIPTION ANIMAL DRUG,NADA,"Medrol,methylprednisolone",2,2
METHYLPREDNISOLONE ACETATE,PRESCRIPTION ANIMAL DRUG,NADA,Depo-Medrol,1,1
METRONIDAZOLE,PRESCRIPTION ANIMAL DRUG,NADA,AYRADIA,1,1
MICONAZOLE NITRATE,PRESCRIPTION ANIMAL DRUG,ANADA,"Conzol 1 %,Miconazole nitrate 1%",2,1
MICONAZOLE NITRATE; PREDNISOLONE ACETATE; POLYMYXIN B SULFATE,PRESCRIPTION ANIMAL DRUG,NADA,Surolan,1,1
MILBEMYCIN OXIME,PRESCRIPTION ANIMAL DRUG,ANADA,MILBEGUARD FLAVORED,1,1
MILBEMYCIN OXIME,PRESCRIPTION ANIMAL DRUG,NADA,"Interceptor Flavor Tabs,Milbemite",2,2
MILBEMYCIN OXIME; LUFENURON,PRESCRIPTION ANIMAL DRUG,NADA,Sentinel Flavor Tabs,1,1
MILBEMYCIN OXIME; LUFENURON; PRAZIQUANTEL,PRESCRIPTION ANIMAL DRUG,NADA,Sentinel Spectrum,1,1
MILBEMYCIN OXIME; PRAZIQUANTEL,PRESCRIPTION ANIMAL DRUG,NADA,Interceptor Plus,1,1
MILBEMYCIN OXIME; SPINOSAD,PRESCRIPTION ANIMAL DRUG,NADA,Trifexis,1,1
MIRTAZAPINE,PRESCRIPTION ANIMAL DRUG,NADA,Mirataz,1,1
MOMETASONE FUROATE MONOHYDRATE; CLOTRIMAZOLE; GENTAMICIN SULFATE,PRESCRIPTION ANIMAL DRUG,NADA,Mometamax,1,1
MOMETASONE FUROATE MONOHYDRATE; GENTAMICIN SULFATE; CLOTRIMAZOLE,PRESCRIPTION ANIMAL DRUG,NADA,MotaZol,1,1
MOMETASONE FUROATE; GENTAMICIN SULFATE; CLOTRIMAZOLE,PRESCRIPTION ANIMAL DRUG,ANADA,Mometavet,1,1
MOMETASONE FUROATE; TERBINAFINE; FLORFENICOL,PRESCRIPTION ANIMAL DRUG,ANADA,SIMPLERA Otic Solution,1,1
MONENSIN,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,ANADA,"Coxidin 90,Monovet 90",2,2
MONENSIN,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,"Coban 90,Rumensin 90",2,2
MORANTEL TARTRATE,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Rumatel 88,1,1
MOXIDECTIN,OTC ANIMAL DRUG,ANADA,"Moxidectin,MoxiSolv,Tauramox",3,2
MOXIDECTIN,OTC ANIMAL DRUG,NADA,"Cydectin,Quest",2,4
MOXIDECTIN,PRESCRIPTION ANIMAL DRUG,NADA,"ProHeart 12,ProHeart 6",2,2
MOXIDECTIN; IMIDACLOPRID,PRESCRIPTION ANIMAL DRUG,ANADA,"BARRIER FOR CATS,BARRIER FOR DOGS,IMOXI for Cats,IMOXI for Dogs,Midamox for Dogs,PARASEDGE Multi for Dogs 20.1 - 55 lbs",6,6
MOXIDECTIN; IMIDACLOPRID,PRESCRIPTION ANIMAL DRUG,NADA,"ADVANTAGE MULTI FOR CATS,ADVANTAGE MULTI FOR DOGS",2,2
MOXIDECTIN; PRAZIQUANTEL; LOTILANER; PYRANTEL PAMOATE,PRESCRIPTION ANIMAL DRUG,NADA,Credelio Quattro,1,1
MOXIDECTIN; PYRANTEL PAMOATE; AFOXOLANER,PRESCRIPTION ANIMAL DRUG,NADA,NexGard PLUS,1,1
MOXIDECTIN; PYRANTEL PAMOATE; SAROLANER,PRESCRIPTION ANIMAL DRUG,NADA,Simparica TRIO,1,1
MOXIDECTIN; SAROLANER; PYRANTEL PAMOATE,PRESCRIPTION ANIMAL DRUG,NADA,Simparica TRIO,1,1
MUPIROCIN,PRESCRIPTION ANIMAL DRUG,ANADA,"Mupirocin,MURICIN",2,2
NARASIN,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,"Monteban 45,Skycis",2,2
NARASIN; NICARBAZIN,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Maxiban 72,1,1
NEOMYCIN SULFATE,PRESCRIPTION ANIMAL DRUG,ANADA,"Neo-Sol 50,NeoMed 325,Neomycin,NEOSOL,Neovet",5,4
NEOMYCIN SULFATE; ISOFLUPREDONE ACETATE; TETRACAINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,Neo-Predef with Tetracaine,1,1
NEOMYCIN SULFATE; OXYTETRACYCLINE HYDROCHLORIDE,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,"Neo-Oxy 100/100 MR,Neo-Terramycin 100/100D",2,2
NICARBAZIN,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Nicarb,1,1
NITENPYRAM,OTC ANIMAL DRUG,NADA,"CAPSTAR,PETARMOR CAPACTION",2,1
NITROFURAZONE,OTC ANIMAL DRUG,NADA,Furazone,1,1
NITROGEN,PRESCRIPTION ANIMAL DRUG,NADA,"Nitrogen,NITROGEN",2,10
NITROGEN; CARBON DIOXIDE,PRESCRIPTION ANIMAL DRUG,NADA,Carbon Dioxide Nitrogen,1,1
NITROUS OXIDE,PRESCRIPTION ANIMAL DRUG,NADA,"Nitrous Oxide,NITROUS OXIDE",2,2
NOVOBIOCIN SODIUM; PENICILLIN G PROCAINE,PRESCRIPTION ANIMAL DRUG,NADA,Albadry Plus,1,1
OCLACITINIB MALEATE,PRESCRIPTION ANIMAL DRUG,NADA,"Apoquel,Apoquel Chewable",2,2
OMEPRAZOLE,OTC ANIMAL DRUG,NADA,ULCERGARD,1,1
OMEPRAZOLE,PRESCRIPTION ANIMAL DRUG,NADA,GASTROGARD,1,1
ORBIFLOXACIN,PRESCRIPTION ANIMAL DRUG,NADA,Orbax,1,1
ORMETOPRIM; SULFADIMETHOXINE,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,ROMET 30,1,1
OXFENDAZOLE,OTC ANIMAL DRUG,NADA,Synanthic Bovine Dewormer,1,1
OXIBENDAZOLE,OTC ANIMAL DRUG,NADA,Anthelcide EQ,1,1
OXYGEN,PRESCRIPTION ANIMAL DRUG,NADA,"Air,Air, Compressed,Carbon Dioxide/Oxygen Mix,Helium/Oxygen Mix,Helium/Oxygen Mixture 80/20,Nitrogen Oxygen Mix,oxygen,Oxygen,OXYGEN,Oxygen Helium Mixture 20/80,Oxygen Helium Mixture 30/70,Oxygen Nitrogen Mixture,Oxygen, Compressed U.S.P.",13,13
OXYGEN; NITROGEN,PRESCRIPTION ANIMAL DRUG,NADA,Air,1,1
OXYTETRACYCLINE,PRESCRIPTION ANIMAL DRUG,ANADA,"AGRIMYCIN 200,Bio-Mycin 200,Oxytetracycline 200,Terra-Vet 200,TERRA-VET 200,Vetrimycin 200,VETRIMYCIN 200",7,3
OXYTETRACYCLINE,PRESCRIPTION ANIMAL DRUG,NADA,"Liquamycin LA-200,Noromycin 300 LA",2,2
OXYTETRACYCLINE,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,"Pennox 100 Hi-Flo,Pennox 50",2,1
OXYTETRACYCLINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,ANADA,"Pennox 343,Tetroxy 343,Tetroxy HCA",3,3
OXYTETRACYCLINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,"Oxytet Soluble,Terramycin Scours",2,2
OXYTETRACYCLINE HYDROCHLORIDE,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,"Terramycin 100,Terramycin 100 MR,Terramycin 200,Terramycin 200 for Fish,Terramycin 200 Granular,Terramycin 50",6,2
OXYTETRACYCLINE HYDROCHLORIDE; NEOMYCIN SULFATE,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Neo-Terramycin 100/100,1,1
OXYTETRACYCLINE HYDROCHLORIDE; POLYMYXIN B SULFATE,PRESCRIPTION ANIMAL DRUG,NADA,Terramycin,1,1
OXYTETRACYCLINE; NEOMYCIN SULFATE,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Neo-Oxy 50/50,1,1
OXYTOCIN,PRESCRIPTION ANIMAL DRUG,ANADA,Oxytocin,1,1
PENICILLIN G POTASSIUM,PRESCRIPTION ANIMAL DRUG,ANADA,"Han-Pen,PenAqua Sol-G,Penicillin G Potassium,R-PEN",4,3
PENICILLIN G PROCAINE,PRESCRIPTION ANIMAL DRUG,NADA,"Bactracillin G,Norocillin,PenOne Pro",3,1
PENICILLIN G PROCAINE; DIHYDROSTREPTOMYCIN SULFATE,PRESCRIPTION ANIMAL DRUG,NADA,Quartermaster,1,1
PENTOBARBITAL SODIUM; PHENYTOIN SODIUM,PRESCRIPTION ANIMAL DRUG,ANADA,Euthanasia Solution,1,1
PENTOSAN POLYSULFATE SODIUM,PRESCRIPTION ANIMAL DRUG,NADA,Zycosan,1,1
PERGOLIDE MESYLATE,PRESCRIPTION ANIMAL DRUG,ANADA,Zygolide,1,1
PERGOLIDE MESYLATE,PRESCRIPTION ANIMAL DRUG,NADA,Prascend,1,1
PHENYLBUTAZONE,PRESCRIPTION ANIMAL DRUG,ANADA,"BUTEQUINE,EQUI-PHAR,EQUIZONE 50/100,PHENYLBUTAZONE,Phenylbutazone Boluses,PHENYLBUTE,PRIBUTAZONE,VetriBute",8,4
PHENYLBUTAZONE,PRESCRIPTION ANIMAL DRUG,NADA,Phenylbutazone,1,1
PHENYLPROPANOLAMINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,ANADA,"PHENYLPROPANOLAMINE HYDROCHLORIDE,UriPropamine",2,1
PHENYLPROPANOLAMINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,"PhenylPro 25,PhenylPro 50,PhenylPro 75,Proin 25,Proin 50,Proin 75,PROIN ER",7,2
PHENYTOIN SODIUM; PENTOBARBITAL SODIUM,PRESCRIPTION ANIMAL DRUG,ANADA,"Euthanasia Solution,Euthaphen,Euthasol",3,3
PIMOBENDAN,PRESCRIPTION ANIMAL DRUG,NADA,"Vetmedin,Vetmedin Solution",2,2
POLOXALENE,OTC ANIMAL DRUG,NADA,Therabloat Drench,1,1
POLOXALENE,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Bloat Guard,1,2
POLYSULFATED GLYCOSAMINOGLYCAN,PRESCRIPTION ANIMAL DRUG,NADA,"Adequan Canine,Adequan i.m.",2,2
PONAZURIL,PRESCRIPTION ANIMAL DRUG,NADA,Marquis,1,1
POSACONAZOLE; MOMETASONE FUROATE; ORBIFLOXACIN,PRESCRIPTION ANIMAL DRUG,NADA,Posatex,1,1
PPL657 RDNA CONSTRUCT IN THE GGTA1 GENE IN DOMESTIC PIGS,INTENTIONAL ANIMAL GENOMIC ALTERATION,NADA,GalSafe,1,1
PRADOFLOXACIN,PRESCRIPTION ANIMAL DRUG,NADA,Veraflox,1,1
PRADOFLOXACIN TRIHYDRATE,PRESCRIPTION ANIMAL DRUG,NADA,Pradalex,1,1
PRAZIQUANTEL,OTC ANIMAL DRUG,NADA,"Durvet Feline Tape Tabs for Cats,Tapeworm Dewormer for Cats,TAPEWORM DEWORMER FOR DOGS",3,1
PRAZIQUANTEL,PRESCRIPTION ANIMAL DRUG,ANADA,Praziquantel,1,2
PRAZIQUANTEL,PRESCRIPTION ANIMAL DRUG,NADA,"Droncit,Droncit Canine Cestocide,Droncit Feline Cestocide,PRAZIQUANTEL",4,2
PRAZIQUANTEL; EMODEPSIDE,PRESCRIPTION ANIMAL DRUG,NADA,Profender,1,1
PRAZIQUANTEL; EPRINOMECTIN,PRESCRIPTION ANIMAL DRUG,NADA,Centragard,1,1
PRAZIQUANTEL; ESAFOXOLANER; EPRINOMECTIN,PRESCRIPTION ANIMAL DRUG,NADA,NexGard COMBO,1,1
PRAZIQUANTEL; FEBANTEL; PYRANTEL PAMOATE,PRESCRIPTION ANIMAL DRUG,NADA,DRONTAL PLUS TASTE TABS,1,1
PRAZIQUANTEL; IVERMECTIN,OTC ANIMAL DRUG,NADA,ZIMECTERIN GOLD,1,1
PRAZIQUANTEL; LOTILANER; PYRANTEL PAMOATE; MOXIDECTIN,PRESCRIPTION ANIMAL DRUG,NADA,Credelio Quattro,1,1
PRAZIQUANTEL; MILBEMYCIN OXIME,PRESCRIPTION ANIMAL DRUG,NADA,Interceptor Plus,1,1
PRAZIQUANTEL; MILBEMYCIN OXIME; LUFENURON,PRESCRIPTION ANIMAL DRUG,NADA,Sentinel Spectrum,1,1
PRAZIQUANTEL; MOXIDECTIN,OTC ANIMAL DRUG,NADA,Quest Plus,1,1
PRAZIQUANTEL; PYRANTEL PAMOATE,OTC ANIMAL DRUG,NADA,"Drontal,Virbantel,WORMXPLUS",3,2
PRAZIQUANTEL; PYRANTEL PAMOATE; FEBANTEL,OTC ANIMAL DRUG,NADA,Quad Dewormer,1,1
PRAZIQUANTEL; PYRANTEL PAMOATE; FEBANTEL,PRESCRIPTION ANIMAL DRUG,NADA,Drontal Plus,1,1
PRAZIQUANTEL; PYRANTEL PAMOATE; IVERMECTIN,PRESCRIPTION ANIMAL DRUG,NADA,IVERHART MAX Chew,1,1
PREDNISOLONE,PRESCRIPTION ANIMAL DRUG,NADA,PrednisTab,1,1
PREDNISOLONE; TRIMEPRAZINE TARTRATE,PRESCRIPTION ANIMAL DRUG,ANADA,Trimeprazine with Prednisolone,1,1
PREGABALIN,PRESCRIPTION ANIMAL DRUG,NADA,BONQAT,1,1
PROGESTERONE,OTC ANIMAL DRUG,NADA,"EAZI-BREED CIDR Cattle Insert,EAZI-BREED CIDR Sheep Insert",2,2
PROGESTERONE; ESTRADIOL BENZOATE,OTC ANIMAL DRUG,NADA,Synovex C,1,1
PROGESTERONE; ESTRADIOL BENZOATE; TYLOSIN TARTRATE,PRESCRIPTION ANIMAL DRUG,NADA,Component E-C With Tylan,1,1
PROPOFOL,PRESCRIPTION ANIMAL DRUG,ANADA,"Propofol Multidose,PropofolVet Multidose",2,1
PROPOFOL,PRESCRIPTION ANIMAL DRUG,NADA,"PropoFlo,PropoFlo 28,Propofol,Propovan CF,Rapanofal",5,2
PYRANTEL,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Banminth 48,1,1
PYRANTEL PAMOATE,OTC ANIMAL DRUG,ANADA,"Equistrength,Exodus,Exodus Multi-Dose,Liqui-Vict 2X Canine Anthelmintic,Liquid Wormer 2X,PetArmor Sure Shot 2X,Pyrid 2X Canine Anthelmintic,Sentry HC Worm X DS,Worm Protector 2X Canine Anthelmintic",9,2
PYRANTEL PAMOATE,OTC ANIMAL DRUG,NADA,"Nemex 2 Non-Sterile,RFD Wormer,Strongid",3,2
PYRANTEL PAMOATE; FEBANTEL; PRAZIQUANTEL,PRESCRIPTION ANIMAL DRUG,NADA,"Drontal Plus,DRONTAL PLUS TASTE TABS",2,1
PYRANTEL PAMOATE; IVERMECTIN,PRESCRIPTION ANIMAL DRUG,ANADA,"Iverhart Plus,IVERHART PLUS,Tri-Heart Plus,TriHeart Plus,VetriShield Plus",5,2
PYRANTEL PAMOATE; IVERMECTIN; PRAZIQUANTEL,PRESCRIPTION ANIMAL DRUG,NADA,IVERHART MAX Chew,1,1
PYRANTEL PAMOATE; LOTILANER; MOXIDECTIN; PRAZIQUANTEL,PRESCRIPTION ANIMAL DRUG,NADA,Credelio Quattro,1,1
PYRANTEL PAMOATE; MOXIDECTIN; SAROLANER,PRESCRIPTION ANIMAL DRUG,NADA,Simparica TRIO,1,1
PYRANTEL PAMOATE; PRAZIQUANTEL,OTC ANIMAL DRUG,NADA,"7 Way De-Wormer,Triple Wormer,Virbantel,WORMXPLUS",4,1
PYRANTEL PAMOATE; PRAZIQUANTEL; FEBANTEL,OTC ANIMAL DRUG,NADA,"Durvet Dog Worm Tabs for Puppies and Small Dogs,Quad Dewormer",2,1
PYRANTEL PAMOATE; PRAZIQUANTEL; IVERMECTIN,PRESCRIPTION ANIMAL DRUG,NADA,IVERHART MAX Chew,1,1
PYRANTEL PAMOATE; SAROLANER; MOXIDECTIN,PRESCRIPTION ANIMAL DRUG,NADA,Simparica TRIO,1,1
PYRANTEL TARTRATE,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Strongid 48,1,1
RABACFOSADINE SUCCINATE,PRESCRIPTION ANIMAL DRUG,NADA,Tanovea,1,1
RACTOPAMINE HYDROCHLORIDE,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,ANADA,"Actogain,Optigrid 45,Ravantage 45",3,3
RACTOPAMINE HYDROCHLORIDE,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,"Optaflexx 45,Paylean 45",2,2
RACTOPAMINE HYDROCHLORIDE,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Paylean 9,1,1
ROBENACOXIB,PRESCRIPTION ANIMAL DRUG,ANADA,ROBENACOXIB,1,1
ROBENACOXIB,PRESCRIPTION ANIMAL DRUG,NADA,Onsior,1,2
ROBENIDINE HYDROCHLORIDE,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Robenz,1,1
ROPINIROLE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,CLEVOR,1,1
SALINOMYCIN SODIUM,OTC TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Bio-Cox Type A Medicated Article,1,1
SAROLANER,PRESCRIPTION ANIMAL DRUG,NADA,Simparica Chewables,1,1
SAROLANER; MOXIDECTIN; PYRANTEL PAMOATE,PRESCRIPTION ANIMAL DRUG,NADA,Simparica TRIO,1,1
SAROLANER; PYRANTEL PAMOATE; MOXIDECTIN,PRESCRIPTION ANIMAL DRUG,NADA,Simparica TRIO,1,1
SAROLANER; SELAMECTIN,PRESCRIPTION ANIMAL DRUG,NADA,REVOLUTION PLUS,1,1
SELAMECTIN,PRESCRIPTION ANIMAL DRUG,ANADA,"Revolt,Selamectin,Selarid,SelaSpot,SENERGY",5,5
SELAMECTIN,PRESCRIPTION ANIMAL DRUG,NADA,REVOLUTION,1,1
SELAMECTIN; SAROLANER,PRESCRIPTION ANIMAL DRUG,NADA,REVOLUTION PLUS,1,1
SELEGILINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,ANIPRYL,1,1
SEVOFLURANE,PRESCRIPTION ANIMAL DRUG,ANADA,"FlurovessTM,Petrem,Sevoflurane,Sevospire",4,3
SEVOFLURANE,PRESCRIPTION ANIMAL DRUG,NADA,SevoFlo,1,1
SILVER SULFADIAZINE; ENROFLOXACIN,PRESCRIPTION ANIMAL DRUG,ANADA,Enrofloxacin and Silver Sulfadiazine Otic Emulsion,1,1
SODIUM CITRATE; POTASSIUM CITRATE; GLYCINE; SODIUM CHLORIDE; DEXTROSE; POTASSIUM PHOSPHATE,OTC ANIMAL DRUG,NADA,Re-Sorb,1,1
"SODIUM SELENITE; .ALPHA.-TOCOPHEROL ACETATE, D-",PRESCRIPTION ANIMAL DRUG,NADA,"E-SE,MU-SE",2,2
SOMETRIBOVE,OTC ANIMAL DRUG,NADA,Posilac,1,1
SPECTINOMYCIN,PRESCRIPTION ANIMAL DRUG,ANADA,SpectoGard Scour-Chek,1,1
SPECTINOMYCIN,PRESCRIPTION ANIMAL DRUG,NADA,SpectoGard Water Soluble Powder,1,1
SPECTINOMYCIN SULFATE,PRESCRIPTION ANIMAL DRUG,ANADA,SpectoGard,1,1
SPECTINOMYCIN SULFATE TETRAHYDRATE; LINCOMYCIN HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,L-S 50,1,1
SPINOSAD,PRESCRIPTION ANIMAL DRUG,NADA,Comfortis,1,1
SPINOSAD; MILBEMYCIN OXIME,PRESCRIPTION ANIMAL DRUG,NADA,Trifexis,1,1
SPIRONOLACTONE; BENAZEPRIL HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,CARDALIS,1,1
SULFADIAZINE SODIUM; PYRIMETHAMINE,PRESCRIPTION ANIMAL DRUG,NADA,ReBalance Antiprotozoal,1,1
SULFADIAZINE; TRIMETHOPRIM,PRESCRIPTION ANIMAL DRUG,ANADA,UNIPRIM,1,1
SULFADIMETHOXINE,PRESCRIPTION ANIMAL DRUG,ANADA,"DI-METHOX,Di-Methox Concentrated Solution 12.5%,Sulfadimethoxine,SULFADIMETHOXINE 40%,Sulfadimethoxine Concentrated Solution 12.5%,SulfaMed,Sulforal",7,5
SULFADIMETHOXINE,PRESCRIPTION ANIMAL DRUG,NADA,"Albon,Albon Bolus",2,3
SULFADIMETHOXINE SODIUM,PRESCRIPTION ANIMAL DRUG,ANADA,SULFASOL,1,1
SULFADIMETHOXINE; ORMETOPRIM,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,Rofenaid 40,1,1
SULFAMETHAZINE,PRESCRIPTION ANIMAL DRUG,ANADA,SMZ-Med 454,1,1
SULFAMETHAZINE,PRESCRIPTION ANIMAL DRUG,NADA,"Sustain III,Sustain III Calf",2,1
SULFAMETHAZINE SODIUM,PRESCRIPTION ANIMAL DRUG,NADA,Sulmet,1,1
SULFAMETHAZINE; CHLORTETRACYCLINE HYDROCHLORIDE,VFD TYPE A MEDICATED ARTICLE ANIMAL DRUG,NADA,AureoS 700 S 700,1,1
SULFAQUINOXALINE,PRESCRIPTION ANIMAL DRUG,NADA,Sul-Q-Nox,1,1
SULFAQUINOXALINE SODIUM; SULFAMERAZINE SODIUM; SULFAMETHAZINE SODIUM,PRESCRIPTION ANIMAL DRUG,NADA,PoultrySulfa,1,1
TELMISARTAN,PRESCRIPTION ANIMAL DRUG,NADA,Semintra,1,1
TERBINAFINE; BETAMETHASONE ACETATE; FLORFENICOL,PRESCRIPTION ANIMAL DRUG,NADA,Osurnia,1,1
TESTOSTERONE PROPIONATE; ESTRADIOL BENZOATE,OTC ANIMAL DRUG,NADA,Synovex H,1,1
TETRACYCLINE,PRESCRIPTION ANIMAL DRUG,ANADA,"Tetracycline,tetracycline hydrochloride",2,1
TETRACYCLINE HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,ANADA,"Tetra-Bac 324,TetraMed 324 HCA,Tetrasol Soluble Powder",3,3
THIABENDAZOLE; DEXAMETHASONE; NEOMYCIN SULFATE,PRESCRIPTION ANIMAL DRUG,NADA,TRESADERM,1,1
TIAMULIN FUMARATE,OTC ANIMAL DRUG,ANADA,"TiaGard 12.5%,Triamulox,Vetmulin",3,3
TIAMULIN FUMARATE,OTC ANIMAL DRUG,NADA,"Denagard,Denagard 80 coated Type A Medicated Article",2,2
TIGILANOL TIGLATE,PRESCRIPTION ANIMAL DRUG,NADA,STELFONTA 1 mg/mL,1,1
TILDIPIROSIN,PRESCRIPTION ANIMAL DRUG,NADA,Zuprevo,1,1
TILETAMINE HYDROCHLORIDE; ZOLAZEPAM HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,ANADA,ZOLETIL,1,1
TILETAMINE HYDROCHLORIDE; ZOLAZEPAM HYDROCHLORIDE,PRESCRIPTION ANIMAL DRUG,NADA,Telazol,1,1
